model,params,feature_set,n_features,fit_s,val_pr_auc,val_roc_auc,val_n_positives,val_fraud_rate,val_brier,val_precision_at_1p1k,val_recall_at_1p1k,val_capture_at_1p1k,val_precision_at_5p1k,val_recall_at_5p1k,val_capture_at_5p1k,val_precision_at_1p,val_recall_at_1p,val_capture_at_1p,val_precision_at_5p,val_recall_at_5p,val_capture_at_5p,val_f1_at_1pct,val_f2_at_1pct,test_pr_auc,test_roc_auc,test_n_positives,test_fraud_rate,test_brier,test_precision_at_1p1k,test_recall_at_1p1k,test_capture_at_1p1k,test_precision_at_5p1k,test_recall_at_5p1k,test_capture_at_5p1k,test_precision_at_1p,test_recall_at_1p,test_capture_at_1p,test_precision_at_5p,test_recall_at_5p,test_capture_at_5p,test_f1_at_1pct,test_f2_at_1pct
hgb,baseline,full_safe,50,10.9,0.9244956982025758,0.992024112120346,326,0.0038056547827508115,0.0016828884796013213,1.0,0.26380368098159507,26.380368098159508,0.705607476635514,0.9263803680981595,92.63803680981594,0.3663943990665111,0.9631901840490797,96.31901840490798,0.07518094793369134,0.9877300613496932,98.77300613496932,0.5308537616229924,0.7265155020823693,0.7663899471852309,0.9747343267295034,238,0.0015018236429950654,0.0016452171715642843,0.879746835443038,0.5840336134453782,58.40336134453782,0.2588383838383838,0.8613445378151261,86.1344537815126,0.1362776025236593,0.907563025210084,90.75630252100841,0.028394750126198888,0.9453781512605042,94.53781512605042,0.2369720241360395,0.42569964525029563
hgb,tuned,full_safe,50,12.4,0.9532157494449297,0.9994631111029314,326,0.0038056547827508115,0.0018904653086088117,1.0,0.26380368098159507,26.380368098159508,0.7242990654205608,0.950920245398773,95.0920245398773,0.3687281213535589,0.9693251533742331,96.93251533742331,0.07611487275274341,1.0,100.0,0.5342349957734573,0.7311429893567792,0.8144481035066833,0.99379808927034,238,0.0015018236429950654,0.0020113446500137316,0.9367088607594937,0.6218487394957983,62.18487394957983,0.26262626262626265,0.8739495798319328,87.39495798319328,0.13564668769716087,0.9033613445378151,90.33613445378151,0.029151943462897525,0.9705882352941176,97.05882352941177,0.235874931431706,0.423728813559322
hgb,tuned,selected_by_permutation,30,9.0,0.9498434943801246,0.9992518926268217,326,0.0038056547827508115,0.00202142267967558,1.0,0.26380368098159507,26.380368098159508,0.719626168224299,0.9447852760736196,94.47852760736197,0.3687281213535589,0.9693251533742331,96.93251533742331,0.07588139154798039,0.9969325153374233,99.69325153374233,0.5342349957734573,0.7311429893567792,0.7942915583830035,0.9923252068339153,238,0.0015018236429950654,0.002164161829909186,0.930379746835443,0.6176470588235294,61.76470588235294,0.26262626262626265,0.8739495798319328,87.39495798319328,0.13375394321766562,0.8907563025210085,89.07563025210085,0.029151943462897525,0.9705882352941176,97.05882352941177,0.23258365331870542,0.4178163184864013
hgb,tuned,drift_robust,41,13.1,0.8535754174274721,0.9953320213536272,326,0.0038056547827508115,0.005279277947763012,0.9883720930232558,0.2607361963190184,26.07361963190184,0.6425233644859814,0.843558282208589,84.3558282208589,0.34889148191365227,0.9171779141104295,91.71779141104295,0.07424702311463927,0.9754601226993865,97.54601226993866,0.5054945054945055,0.6918093475242943,0.648590686982715,0.9890117059488422,238,0.0015018236429950654,0.0054304555747002065,0.7721518987341772,0.5126050420168067,51.26050420168067,0.23863636363636365,0.7941176470588235,79.41176470588235,0.12933753943217666,0.8613445378151261,86.1344537815126,0.02801615345784957,0.9327731092436975,93.27731092436974,0.22490400438837083,0.4040204966495861
hgb,tuned,label_free,46,15.7,0.625148260997425,0.9865977275825162,326,0.0038056547827508115,0.00909421364259183,0.8953488372093024,0.2361963190184049,23.619631901840492,0.4976635514018692,0.6533742331288344,65.33742331288343,0.294049008168028,0.7730061349693251,77.30061349693251,0.070511323838431,0.9263803680981595,92.63803680981594,0.4260355029585799,0.5830633965756594,0.4044748427042183,0.977680370411518,238,0.0015018236429950654,0.010623319133190513,0.5063291139240507,0.33613445378151263,33.61344537815126,0.19065656565656566,0.634453781512605,63.4453781512605,0.11419558359621451,0.7605042016806722,76.05042016806722,0.02612317011610298,0.8697478991596639,86.97478991596638,0.19857377948436644,0.35672053606621995
catboost,baseline,full_safe,50,237.8,0.9613387587350977,0.9994924430083953,326,0.0038056547827508115,0.0009976407981729803,1.0,0.26380368098159507,26.380368098159508,0.7289719626168224,0.9570552147239264,95.70552147239265,0.37222870478413067,0.9785276073619632,97.85276073619632,0.07611487275274341,1.0,100.0,0.5393068469991547,0.7380842202683943,0.8544215938571558,0.9937319982215692,238,0.0015018236429950654,0.0009766148668712575,0.9810126582278481,0.6512605042016807,65.12605042016807,0.27146464646464646,0.9033613445378151,90.33613445378151,0.1381703470031546,0.9201680672268907,92.01680672268907,0.029151943462897525,0.9705882352941176,97.05882352941177,0.24026330224904005,0.4316121403232164
catboost,baseline,full_safe,50,232.1,0.9613387587350977,0.9994924430083953,326,0.0038056547827508115,0.0009976407981729803,1.0,0.26380368098159507,26.380368098159508,0.7289719626168224,0.9570552147239264,95.70552147239265,0.37222870478413067,0.9785276073619632,97.85276073619632,0.07611487275274341,1.0,100.0,0.5393068469991547,0.7380842202683943,0.8544215938571558,0.9937319982215692,238,0.0015018236429950654,0.0009766148668712575,0.9810126582278481,0.6512605042016807,65.12605042016807,0.27146464646464646,0.9033613445378151,90.33613445378151,0.1381703470031546,0.9201680672268907,92.01680672268907,0.029151943462897525,0.9705882352941176,97.05882352941177,0.24026330224904005,0.4316121403232164
catboost,baseline,selected_by_permutation,30,190.0,0.9620970916161025,0.999413110268985,326,0.0038056547827508115,0.0008940939642563078,1.0,0.26380368098159507,26.380368098159508,0.7266355140186916,0.9539877300613497,95.39877300613497,0.3710618436406068,0.9754601226993865,97.54601226993866,0.07588139154798039,0.9969325153374233,99.69325153374233,0.5376162299239222,0.7357704766311892,0.8416628207407962,0.9918692343592307,238,0.0015018236429950654,0.0009569522569131361,0.9746835443037974,0.6470588235294118,64.70588235294117,0.2702020202020202,0.8991596638655462,89.91596638655463,0.138801261829653,0.9243697478991597,92.43697478991596,0.029025744573447754,0.9663865546218487,96.63865546218487,0.24136039495337355,0.43358297201419
catboost,baseline,drift_robust,41,188.7,0.8651839359778215,0.9950835628602864,326,0.0038056547827508115,0.0024847588282859035,0.9883720930232558,0.2607361963190184,26.07361963190184,0.6495327102803738,0.852760736196319,85.2760736196319,0.35122520420070014,0.9233128834355828,92.33128834355828,0.07448050431940229,0.9785276073619632,97.85276073619632,0.5088757396449705,0.6964368347987043,0.7045881750432823,0.9883502378428052,238,0.0015018236429950654,0.002486050323583577,0.8291139240506329,0.5504201680672269,55.04201680672269,0.2398989898989899,0.7983193277310925,79.83193277310924,0.12618296529968454,0.8403361344537815,84.03361344537815,0.027889954568399798,0.9285714285714286,92.85714285714286,0.21941854086670323,0.3941663381947182
catboost,baseline,label_free,46,156.8,0.6886888250576305,0.9895464467847344,326,0.0038056547827508115,0.003433908757505431,0.9534883720930233,0.25153374233128833,25.153374233128833,0.5490654205607477,0.7208588957055214,72.08588957055214,0.30688448074679114,0.8067484662576687,80.67484662576688,0.07191221106700911,0.9447852760736196,94.47852760736197,0.4446322907861369,0.6085145765849144,0.4496783144467643,0.9727175141650989,238,0.0015018236429950654,0.003832498751361317,0.5949367088607594,0.3949579831932773,39.49579831932773,0.19570707070707072,0.6512605042016807,65.12605042016807,0.10410094637223975,0.6932773109243697,69.32773109243698,0.02624936900555275,0.8739495798319328,87.39495798319328,0.18102029621503016,0.3251872290106425
